"Model","Origins","Mean_RMSE","SD_RMSE","Mean_MAE","Cov80","Cov95"
"ARIMA(2,1,2)+drift",24,401.540971756103,89.234813241076,332.869620920639,0.979166666666667,0.996527777777778
"RW with drift",24,470.813428743814,114.241443458858,398.078014170516,NA,NA
"ARX(0)-GARCH(1,1) std",24,519.381768598632,143.738237333382,438.79854686686,0.909722222222222,0.993055555555556
"Holt-Winters additive",24,650.397570212685,315.265160467656,571.95039971451,0.871527777777778,0.979166666666667
